Protein	Structural Cluster	Cluster representative	Family	Class	Consensus Class	In_tree?	Best Hit UniprotKB entry	Best Hit UniprotKB name	Best Hit UniprotKB %id	Best Hit UniprotKB e-value	UniprotKB novelty%	Average identity	Average TM-score	Abundance	Redundant_names
EC-1597	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1598	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1599	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-16	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1601	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1602	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1606	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1613	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1614	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1615	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1617	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-17	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1752	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1760	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1772	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1773	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1774	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1792	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-181	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1822	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1849	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1887	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1897	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-19	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1900	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1908	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1913	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1921	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1931	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1932	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1933	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1937	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1942	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1985	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1991	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1993	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1994	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-1995	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-2	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-2032	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-2064	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-2065	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-2070	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-2085	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-2096	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-2097	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-2100	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-2107	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-2123	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-2126	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-2139	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-23	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-237	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-243	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-247	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-270	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	Yes	-	-	100	0	0	0.133	0.52228	0	-
EC-296	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-306	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-31	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-312	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-319	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-333	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-351	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-36	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-377	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-384	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-385	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-39	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-399	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-403	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-421	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-426	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-427	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-428	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-44	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-443	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-446	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-447	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-48	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-488	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-489	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-49	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-497	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-498	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-50	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-500	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-506	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-508	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-509	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-51	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-519	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-52	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-54	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-554	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-561	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-565	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-567	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-575	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-577	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-60	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-608	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-67	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-68	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	Yes	-	-	100	0	0	0.131	0.51764	0	-
EC-70	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-707	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-708	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-716	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-730	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-763	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-770	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-771	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-772	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-778	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-784	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-785	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-81	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-824	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-85	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-854	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-89	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-910	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-920	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-922	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-993	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P1	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P10	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P11	C-III	EC-P76	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P12	C-IV	EC-P12	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P13	C-III	EC-P76	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P16	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P17	C-IV	EC-P12	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P18	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P2	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P24	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P26	C-III	EC-P76	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P27	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P28	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P3	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P34	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P37	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P38	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P39	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P4	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P40	C-IV	EC-P12	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P41	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P42	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P46	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P47	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P48	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P49	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P5	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P50	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P51	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P57	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P6	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P60	C-I	21243713_len_452_MetaAn_63	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P61	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P7	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P71	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P72	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P73	C-III	EC-P76	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P79	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P8	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P80	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P81	C-III	EC-P76	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EC-P9	C-II	EC-P72	EC	Class_C	C	No	-	-	-	-	-	-	-	0	-
EDC-1	C-I	21243713_len_452_MetaAn_63	EDC	Class_C	C	Yes	-	-	100	0	0	0.127	0.51153	0	-
ERH-1	C-I	21243713_len_452_MetaAn_63	ERH	Class_C	C	Yes	-	-	100	0	0	0.12	0.50463	0	-
ERP-1	A-IV	BRO-2	ERP	Class_A	A	Yes	-	-	100	0	0	0.221	0.71025	0	-
EstU1_Carboxylesterasa_Metagenome_PBP-like_superfamily	Carboxylesterase EstU1	10553088_len_458_MetaAn_1	True Negative	PBP-like_superfamily	PBP	Yes	-	-	100	0	0	0.071	0.45948	0	-
FAR-1	A-IV	BRO-2	FAR	Class_A	A	Yes	-	-	100	0	0	0.212	0.67641	0.000189065	-
FAR-2	A-IV	BRO-2	FAR	Class_A	A	No	-	-	-	-	-	-	-	0	-
FEC-1	A-IV	BRO-2	FEC	Class_A	A	No	-	-	-	-	-	-	-	0	-
FONA-2	A-IV	BRO-2	FONA	Class_A	A	Yes	-	-	100	0	0	0.225	0.70826	0	-
FONA-3	A-IV	BRO-2	FONA	Class_A	A	No	-	-	-	-	-	-	-	0	-
FOX-16	C-I	21243713_len_452_MetaAn_63	FOX	Class_C	C	No	-	-	-	-	-	-	-	0	-
FOX-18	C-I	21243713_len_452_MetaAn_63	FOX	Class_C	C	No	-	-	-	-	-	-	-	0	-
FOX-19	C-I	21243713_len_452_MetaAn_63	FOX	Class_C	C	No	-	-	-	-	-	-	-	0	-
FOX-2	C-I	21243713_len_452_MetaAn_63	FOX	Class_C	C	No	-	-	-	-	-	-	-	0	-
FOX-21	C-I	21243713_len_452_MetaAn_63	FOX	Class_C	C	No	-	-	-	-	-	-	-	0	-
FOX-4	C-I	21243713_len_452_MetaAn_63	FOX	Class_C	C	No	-	-	-	-	-	-	-	0	-
FOX-9	C-I	21243713_len_452_MetaAn_63	FOX	Class_C	C	Yes	-	-	100	0	0	0.13	0.51381	0	-
FPH-1	A-IV	BRO-2	FPH	Class_A	A	Yes	-	-	100	0	0	0.183	0.71046	0	-
FRI-1	A-V	1090872_len_332_MetaAn_9	FRI	Class_A	A	Yes	-	-	100	0	0	0.213	0.70788	0	-
FRI-10	A-V	1090872_len_332_MetaAn_9	FRI	Class_A	A	No	-	-	-	-	-	-	-	0	-
FRI-11	A-V	1090872_len_332_MetaAn_9	FRI	Class_A	A	No	-	-	-	-	-	-	-	0	-
FRI-12	A-IV	BRO-2	FRI	Class_A	A	Yes	-	-	100	0	0	0.214	0.70239	0	-
FRI-2	A-V	1090872_len_332_MetaAn_9	FRI	Class_A	A	No	-	-	-	-	-	-	-	0	-
FRI-3	A-V	1090872_len_332_MetaAn_9	FRI	Class_A	A	No	-	-	-	-	-	-	-	0	-
FRI-5	A-IV	BRO-2	FRI	Class_A	A	No	-	-	-	-	-	-	-	0	-
FRI-9	A-V	1090872_len_332_MetaAn_9	FRI	Class_A	A	No	-	-	-	-	-	-	-	0	-
GES-42	A-V	1090872_len_332_MetaAn_9	GES	Class_A	A	Yes	-	-	100	0	0	0.206	0.72013	0	-
GES-44	A-III	SGM-5	GES	Class_A	A	No	-	-	-	-	-	-	-	0	-
GES-54	A-III	SGM-5	GES	Class_A	A	No	-	-	-	-	-	-	-	0	-
GIL-1	A-IV	BRO-2	GIL	Class_A	A	Yes	-	-	100	0	0	0.23	0.73002	0.000209166	-
GMA-1	A-VI	CM1-1	GMA	Class_A	A	Yes	-	-	100	0	0	0.199	0.74626	0	-
GMA-2	A-VI	CM1-1	GMA	Class_A	A	No	-	-	-	-	-	-	-	0	-
GPA-1	A-IV	BRO-2	GPA	Class_A	A	Yes	-	-	100	0	0	0.212	0.70597	8.59E-05	-
GPC-1	A-V	1090872_len_332_MetaAn_9	GPC	Class_A	A	Yes	-	-	100	0	0	0.223	0.71025	0.000385308	-
GRI-1	A-IV	BRO-2	GRI	Class_A	A	Yes	-	-	100	0	0	0.23	0.69839	0	-
HBL-1	A-IV	BRO-2	HBL	Class_A	A	Yes	-	-	100	0	0	0.217	0.70268	5.72E-05	-
HugA	A-V	1090872_len_332_MetaAn_9	HugA	Class_A	A	Yes	-	-	100	0	0	0.223	0.71029	0	-
IDC-1	C-I	21243713_len_452_MetaAn_63	IDC	Class_C	C	Yes	-	-	100	0	0	0.119	0.50657	0.000285624	-
IDC-2	C-I	21243713_len_452_MetaAn_63	IDC	Class_C	C	No	-	-	-	-	-	-	-	0.000171625	-
IMI-22	A-V	1090872_len_332_MetaAn_9	IMI	Class_A	A	No	-	-	-	-	-	-	-	0	-
IMI-23	A-IV	BRO-2	IMI	Class_A	A	Yes	-	-	100	0	0	0.219	0.70492	0	-
IMI-24	A-V	1090872_len_332_MetaAn_9	IMI	Class_A	A	Yes	-	-	100	0	0	0.219	0.70095	0	-
IMI-5	A-V	1090872_len_332_MetaAn_9	IMI	Class_A	A	Yes	-	-	100	0	0	0.214	0.70677	0	-
IMI-8	A-V	1090872_len_332_MetaAn_9	IMI	Class_A	A	No	-	-	-	-	-	-	-	9.88E-05	-
KBL-1	A-IV	BRO-2	KBL	Class_A	A	Yes	-	-	100	0	0	0.217	0.72684	0	-
KLUA-11	A-III	SGM-5	KLUA	Class_A	A	No	-	-	-	-	-	-	-	0	-
KLUA-12	A-IV	BRO-2	KLUA	Class_A	A	No	-	-	-	-	-	-	-	0	-
KLUA-5	A-III	SGM-5	KLUA	Class_A	A	No	-	-	-	-	-	-	-	0	-
KLUC-7	A-IV	BRO-2	KLUC	Class_A	A	Yes	-	-	100	0	0	0.234	0.71699	0	-
KLUG-5	A-IV	BRO-2	KLUG	Class_A	A	Yes	-	-	100	0	0	0.234	0.70774	0	-
KLUS-1	A-IV	BRO-2	KLUS	Class_A	A	Yes	-	-	100	0	0	0.235	0.70977	0	-
KPC-107	A-VIII	KPC-107	KPC	Class_A	A	Yes	-	-	100	0	0	0.22	0.65496	0	-
KPC-108	A-VIII	KPC-107	KPC	Class_A	A	Yes	-	-	100	0	0	0.218	0.65823	0	-
KPC-117	A-IV	BRO-2	KPC	Class_A	A	No	-	-	-	-	-	-	-	0	-
KPC-132	A-IV	BRO-2	KPC	Class_A	A	No	-	-	-	-	-	-	-	0	-
KPC-138	A-IV	BRO-2	KPC	Class_A	A	No	-	-	-	-	-	-	-	0	-
KPC-142	A-IV	BRO-2	KPC	Class_A	A	No	-	-	-	-	-	-	-	0	-
KPC-154	A-IV	BRO-2	KPC	Class_A	A	No	-	-	-	-	-	-	-	0	-
KPC-162	A-IV	BRO-2	KPC	Class_A	A	No	-	-	-	-	-	-	-	0	-
KPC-167	A-IV	BRO-2	KPC	Class_A	A	No	-	-	-	-	-	-	-	0	-
KPC-185	A-IV	BRO-2	KPC	Class_A	A	No	-	-	-	-	-	-	-	0	-
KPC-192	A-IV	BRO-2	KPC	Class_A	A	No	-	-	-	-	-	-	-	0	-
KPC-34	A-IV	BRO-2	KPC	Class_A	A	No	-	-	-	-	-	-	-	0	-
KPC-64	A-IV	BRO-2	KPC	Class_A	A	No	-	-	-	-	-	-	-	0	-
KPC-67	A-IV	BRO-2	KPC	Class_A	A	No	-	-	-	-	-	-	-	0	-
KPC-74	A-IV	BRO-2	KPC	Class_A	A	Yes	-	-	100	0	0	0.243	0.7109	0	-
KPC-9	A-V	1090872_len_332_MetaAn_9	KPC	Class_A	A	No	-	-	-	-	-	-	-	0	-
KPC-93	A-IV	BRO-2	KPC	Class_A	A	No	-	-	-	-	-	-	-	0	-
L2-1	A-IV	BRO-2	L2	Class_A	A	Yes	-	-	100	0	0	0.215	0.70117	0	-
L2-20	A-IV	BRO-2	L2	Class_A	A	No	-	-	-	-	-	-	-	0.000212793	-
L2-28	A-IV	BRO-2	L2	Class_A	A	Yes	-	-	100	0	0	0.215	0.70163	0.000102758	-
L2-3	A-IV	BRO-2	L2	Class_A	A	No	-	-	-	-	-	-	-	0.000235795	-
L2-43	A-IV	BRO-2	L2	Class_A	A	No	-	-	-	-	-	-	-	0.000146791	-
L2-47	A-IV	BRO-2	L2	Class_A	A	Yes	-	-	100	0	0	0.215	0.70275	0	-
L2-79	A-IV	BRO-2	L2	Class_A	A	No	-	-	-	-	-	-	-	0.000355318	-
L2-80	A-VI	CM1-1	L2	Class_A	A	Yes	-	-	100	0	0	0.212	0.69047	0	-
L2-81	A-IV	BRO-2	L2	Class_A	A	No	-	-	-	-	-	-	-	0.000448793	-
L2-E-10	A-IV	BRO-2	L2	Class_A	A	No	-	-	-	-	-	-	-	0	-
L2-E-13	A-V	1090872_len_332_MetaAn_9	L2	Class_A	A	Yes	-	-	100	0	0	0.208	0.69226	0	-
L2-E-31	A-VI	CM1-1	L2	Class_A	A	No	-	-	-	-	-	-	-	0	-
L2-E-9	A-IV	BRO-2	L2	Class_A	A	Yes	-	-	100	0	0	0.211	0.69822	0	-
LAQ-1	C-I	21243713_len_452_MetaAn_63	LAQ	Class_C	C	Yes	-	-	100	0	0	0.134	0.5173	0	-
LCR-1	D-III	21647449_len_310_MetaAn_18	LCR	Class_D	D	Yes	-	-	100	0	0	0.149	0.66873	0	-
LEN-1	A-IV	BRO-2	LEN	Class_A	A	No	-	-	-	-	-	-	-	0	-
LEN-15	A-IV	BRO-2	LEN	Class_A	A	No	-	-	-	-	-	-	-	0	-
LEN-26	A-IV	BRO-2	LEN	Class_A	A	No	-	-	-	-	-	-	-	0	-
LEN-35	A-IV	BRO-2	LEN	Class_A	A	No	-	-	-	-	-	-	-	0	-
LEN-37	A-III	SGM-5	LEN	Class_A	A	No	-	-	-	-	-	-	-	0	-
LEN-41	A-IV	BRO-2	LEN	Class_A	A	No	-	-	-	-	-	-	-	0	-
LEN-45	A-IV	BRO-2	LEN	Class_A	A	No	-	-	-	-	-	-	-	0	-
LEN-47	A-IV	BRO-2	LEN	Class_A	A	Yes	-	-	100	0	0	0.238	0.72895	9.09E-05	-
